timestamp,node,lmp
2026-02-11 08:00:00+00:00,TH_ZP26_GEN-APND,38.19885
2026-02-11 08:00:00+00:00,TH_SP15_GEN-APND,-0.56789
2026-02-11 08:00:00+00:00,TH_ZP26_GEN-APND,-1.45156
2026-02-11 08:00:00+00:00,TH_SP15_GEN-APND,36.45443
2026-02-11 08:00:00+00:00,TH_ZP26_GEN-APND,36.7473
2026-02-11 08:00:00+00:00,TH_SP15_GEN-APND,38.19885
2026-02-11 08:00:00+00:00,TH_SP15_GEN-APND,-1.17652
2026-02-11 08:00:00+00:00,TH_SP15_GEN-APND,0.0
2026-02-11 08:00:00+00:00,TH_NP15_GEN-APND,38.19885
2026-02-11 08:00:00+00:00,TH_NP15_GEN-APND,-0.04623
2026-02-11 08:00:00+00:00,TH_ZP26_GEN-APND,0.0
2026-02-11 08:00:00+00:00,TH_NP15_GEN-APND,36.85004
2026-02-11 08:00:00+00:00,TH_NP15_GEN-APND,-1.30258
2026-02-11 08:00:00+00:00,TH_ZP26_GEN-APND,0.0
2026-02-11 08:00:00+00:00,TH_NP15_GEN-APND,0.0
2026-02-11 09:00:00+00:00,TH_NP15_GEN-APND,35.71145
2026-02-11 09:00:00+00:00,TH_ZP26_GEN-APND,35.71145
2026-02-11 09:00:00+00:00,TH_NP15_GEN-APND,0.0
2026-02-11 09:00:00+00:00,TH_ZP26_GEN-APND,-1.26061
2026-02-11 09:00:00+00:00,TH_NP15_GEN-APND,-1.01421
2026-02-11 09:00:00+00:00,TH_SP15_GEN-APND,34.27049
2026-02-11 09:00:00+00:00,TH_SP15_GEN-APND,0.0
2026-02-11 09:00:00+00:00,TH_ZP26_GEN-APND,0.0
2026-02-11 09:00:00+00:00,TH_ZP26_GEN-APND,34.45084
2026-02-11 09:00:00+00:00,TH_NP15_GEN-APND,-0.02357
2026-02-11 09:00:00+00:00,TH_NP15_GEN-APND,34.67367
2026-02-11 09:00:00+00:00,TH_SP15_GEN-APND,-0.89279
2026-02-11 09:00:00+00:00,TH_SP15_GEN-APND,-0.54817
2026-02-11 09:00:00+00:00,TH_ZP26_GEN-APND,0.0
2026-02-11 09:00:00+00:00,TH_SP15_GEN-APND,35.71145
2026-02-11 10:00:00+00:00,TH_ZP26_GEN-APND,33.95499
2026-02-11 10:00:00+00:00,TH_ZP26_GEN-APND,35.23033
2026-02-11 10:00:00+00:00,TH_SP15_GEN-APND,-0.53424
2026-02-11 10:00:00+00:00,TH_NP15_GEN-APND,0.0
2026-02-11 10:00:00+00:00,TH_NP15_GEN-APND,-0.00944
2026-02-11 10:00:00+00:00,TH_SP15_GEN-APND,35.23033
2026-02-11 10:00:00+00:00,TH_NP15_GEN-APND,-1.03577
2026-02-11 10:00:00+00:00,TH_SP15_GEN-APND,-0.73279
2026-02-11 10:00:00+00:00,TH_SP15_GEN-APND,0.0
2026-02-11 10:00:00+00:00,TH_ZP26_GEN-APND,-1.27534
2026-02-11 10:00:00+00:00,TH_NP15_GEN-APND,35.23033
2026-02-11 10:00:00+00:00,TH_ZP26_GEN-APND,0.0
2026-02-11 10:00:00+00:00,TH_NP15_GEN-APND,34.18511
2026-02-11 10:00:00+00:00,TH_ZP26_GEN-APND,0.0
2026-02-11 10:00:00+00:00,TH_SP15_GEN-APND,33.96329
2026-02-11 11:00:00+00:00,TH_ZP26_GEN-APND,33.80834
2026-02-11 11:00:00+00:00,TH_SP15_GEN-APND,-0.60334
2026-02-11 11:00:00+00:00,TH_NP15_GEN-APND,0.0
2026-02-11 11:00:00+00:00,TH_NP15_GEN-APND,35.07817
2026-02-11 11:00:00+00:00,TH_ZP26_GEN-APND,35.07817
2026-02-11 11:00:00+00:00,TH_NP15_GEN-APND,33.84315
2026-02-11 11:00:00+00:00,TH_ZP26_GEN-APND,0.0
2026-02-11 11:00:00+00:00,TH_ZP26_GEN-APND,0.0
2026-02-11 11:00:00+00:00,TH_ZP26_GEN-APND,-1.26983
2026-02-11 11:00:00+00:00,TH_SP15_GEN-APND,33.91939
2026-02-11 11:00:00+00:00,TH_SP15_GEN-APND,0.0
2026-02-11 11:00:00+00:00,TH_SP15_GEN-APND,-0.55544
2026-02-11 11:00:00+00:00,TH_SP15_GEN-APND,35.07817
2026-02-11 11:00:00+00:00,TH_NP15_GEN-APND,-0.01079
2026-02-11 11:00:00+00:00,TH_NP15_GEN-APND,-1.22423
2026-02-11 12:00:00+00:00,TH_NP15_GEN-APND,34.21164
2026-02-11 12:00:00+00:00,TH_NP15_GEN-APND,-1.08021
2026-02-11 12:00:00+00:00,TH_ZP26_GEN-APND,0.0
2026-02-11 12:00:00+00:00,TH_ZP26_GEN-APND,35.30113
2026-02-11 12:00:00+00:00,TH_ZP26_GEN-APND,0.0
2026-02-11 12:00:00+00:00,TH_NP15_GEN-APND,0.0
2026-02-11 12:00:00+00:00,TH_NP15_GEN-APND,35.30113
2026-02-11 12:00:00+00:00,TH_SP15_GEN-APND,35.30113
2026-02-11 12:00:00+00:00,TH_SP15_GEN-APND,-0.73426
2026-02-11 12:00:00+00:00,TH_SP15_GEN-APND,34.02449
2026-02-11 12:00:00+00:00,TH_NP15_GEN-APND,-0.00928
2026-02-11 12:00:00+00:00,TH_SP15_GEN-APND,0.0
2026-02-11 12:00:00+00:00,TH_ZP26_GEN-APND,-1.24966
2026-02-11 12:00:00+00:00,TH_SP15_GEN-APND,-0.54238
2026-02-11 12:00:00+00:00,TH_ZP26_GEN-APND,34.05147
2026-02-11 13:00:00+00:00,TH_SP15_GEN-APND,-1.39516
